cota cotb p flp localx localy pT hittime PID
-1.39787 77.50724 0.00429 0 27.58201 12.23608 0.00371 1.30512 11
3.16183 25.51682 0.00429 0 30.42044 -5.38351 0.00371 1.24227 11
0.75229 24.81081 0.00429 0 28.73475 9.45311 0.00371 1.23568 11
-3.41517 39.35688 0.00429 0 30.16500 -2.04511 0.00371 1.20102 11
-0.36901 61.62280 0.00429 0 29.99890 -6.40120 0.00371 1.21107 11
9.59553 62.70418 0.00429 0 -28.49542 10.03092 0.00371 1.16052 11
175.43751 33.93968 0.00429 0 26.58326 -14.64728 0.00371 1.21792 11
-0.52947 46.45360 0.00429 0 4.16554 -30.16500 0.00371 1.23832 11
-0.41736 42.09797 0.00429 0 -5.68045 -30.29744 0.00371 1.22514 11
6.90526 20.32299 0.00429 0 -29.21061 8.30430 0.00371 1.27942 11
1.65196 20.39761 0.00429 0 27.99840 11.23082 0.00371 1.33818 11
-0.77203 35.83057 0.00429 0 2.29522 30.16500 0.00371 1.20084 11
0.20123 33.83575 0.00429 0 28.83009 9.22294 0.00371 1.57079 11
-0.39173 31.18184 0.00429 0 19.38622 -23.27353 0.00371 2.32846 11
0.26760 19.16045 0.00429 0 1.42534 -30.16500 0.00371 1.20827 11
0.57601 225.58408 0.00051 0 2.11886 -30.14277 0.00019 0.05715 22
1.77308 59.70020 0.00094 0 -21.22450 -21.45770 0.00024 0.77957 22
-0.02789 16.50485 0.00482 0 7.22002 -30.16500 0.00165 0.05667 -11
2.77351 82.96813 0.00482 0 7.54712 29.52424 0.00165 0.29315 -11
0.11961 47.08189 0.00482 0 11.47041 -27.89916 0.00165 0.16422 -11
1.59732 33.89209 0.00634 0 20.90973 -21.75003 0.00622 2.52082 11
-2.20287 21.97225 0.00634 0 2.13408 30.16500 0.00622 0.93533 11
